Address,Is POH User,Timestamp,Direct Holdings (sDAI),Indirect Holdings (sDAI),Total Holdings (sDAI),Share of Holdings,Share of Holdings (PoH Users)
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1731307071,"173,371.801","23,854.096","197,225.896",73.0902%,0%
0x334f12afb7d8740868be04719639616533075234,No,1731307071,"55,854.591",0,"55,854.591",20.6992%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1731307071,"6,926.968",0,"6,926.968",2.5671%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1731307071,"4,305.8",0,"4,305.8",1.5957%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1731307071,"1,328.175",0,"1,328.175",0.4922%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1731307071,"1,225.466",0,"1,225.466",0.4541%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1731307071,"1,171.237",0,"1,171.237",0.4341%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1731307071,910.621,0,910.621,0.3375%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1731307071,258.867,0,258.867,0.0959%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1731307071,246.516,0,246.516,0.0914%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1731307071,239.011,0,239.011,0.0886%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1731307071,54.197,0,54.197,0.0201%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1731307071,38.78,0,38.78,0.0144%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1731307071,23.686,0,23.686,0.0088%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1731307071,9.617,0,9.617,0.0036%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1731307071,7.319,0,7.319,0.0027%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1731307071,4.187,0,4.187,0.0016%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1731307071,3.36,0,3.36,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1731307071,1.988,0,1.988,0.0007%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1731307071,1.836,0,1.836,0.0007%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1731307071,0.901,0,0.901,0.0003%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1731965269,"173,371.801","23,854.096","197,225.896",73.0902%,0%
0x334f12afb7d8740868be04719639616533075234,No,1731965269,"55,854.591",0,"55,854.591",20.6992%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1731965269,"6,926.968",0,"6,926.968",2.5671%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1731965269,"4,305.8",0,"4,305.8",1.5957%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1731965269,"1,328.175",0,"1,328.175",0.4922%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1731965269,"1,225.466",0,"1,225.466",0.4541%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1731965269,"1,171.237",0,"1,171.237",0.4341%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1731965269,910.621,0,910.621,0.3375%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1731965269,258.867,0,258.867,0.0959%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1731965269,246.516,0,246.516,0.0914%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1731965269,239.011,0,239.011,0.0886%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1731965269,54.197,0,54.197,0.0201%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1731965269,38.78,0,38.78,0.0144%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1731965269,23.686,0,23.686,0.0088%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1731965269,9.617,0,9.617,0.0036%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1731965269,7.319,0,7.319,0.0027%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1731965269,4.187,0,4.187,0.0016%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1731965269,3.36,0,3.36,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1731965269,1.988,0,1.988,0.0007%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1731965269,1.836,0,1.836,0.0007%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1731965269,0.901,0,0.901,0.0003%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1731989112,"173,371.801","23,854.096","197,225.896",73.0902%,0%
0x334f12afb7d8740868be04719639616533075234,No,1731989112,"55,854.591",0,"55,854.591",20.6992%,0%
0xbff956c949c545fa15d9abbe550d2488baa16f8d,No,1731989112,"6,926.968",0,"6,926.968",2.5671%,0%
0x9c813e60680423536eb72c2e6ce930701fc8f622,No,1731989112,"4,305.8",0,"4,305.8",1.5957%,0%
0x999decb7451e5cf07ce2dd8c65b9be4400399999,No,1731989112,"1,328.175",0,"1,328.175",0.4922%,0%
0x1a6cf270bb607943343190ab7b50b0e8a36d062f,No,1731989112,"1,225.466",0,"1,225.466",0.4541%,0%
0xa8021aecb8541328fde1544224da0d526f3da58d,No,1731989112,"1,171.237",0,"1,171.237",0.4341%,0%
0x000461a73d3985eef4923655782aa5d0de75c111,No,1731989112,910.621,0,910.621,0.3375%,0%
0xec246ffddebdf77b6faeffa0380db3fa20ee5778,No,1731989112,258.867,0,258.867,0.0959%,0%
0x45e28f8538471557f1b976416e60868f1a092e43,No,1731989112,246.516,0,246.516,0.0914%,0%
0x34bd8a7ae5369b71380b88157e01372182a10638,No,1731989112,239.011,0,239.011,0.0886%,0%
0xeea6914c9cb62a11710b4266417b7d6ce4434104,No,1731989112,54.197,0,54.197,0.0201%,0%
0x9f0b99c0a64688390ae5901fb52f505ffd7bd900,No,1731989112,38.78,0,38.78,0.0144%,0%
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,No,1731989112,23.686,0,23.686,0.0088%,0%
0x39fb822fd7b1083d19a25dd5664176a1e33f4912,No,1731989112,9.617,0,9.617,0.0036%,0%
0xb5087f95643a9a4069471a28d32c569d9bd57fe4,No,1731989112,7.319,0,7.319,0.0027%,0%
0x085ab0280c1dca006aec0dc90ac943e3a04da647,No,1731989112,4.187,0,4.187,0.0016%,0%
0x9008d19f58aabd9ed0d60971565aa8510560ab41,No,1731989112,3.36,0,3.36,0.0012%,0%
0x77777d91c0b8ec9984a05302e4ef041dccf77fee,No,1731989112,1.988,0,1.988,0.0007%,0%
0xefb8e220f012241a00f5dae4a5b2c473a742a63a,No,1731989112,1.836,0,1.836,0.0007%,0%
0xe7f13052fe2ba7d038dac18de5e730542e3979bc,Yes,1731989112,0.901,0,0.901,0.0003%,100.0000%
0x56cf0ff00fd6cfb23ce964c6338b228b0fa76640,No,1732302930,"42,928.333","23,854.096","66,782.429",47.9086%,0%
0x334f12afb7d8740868be04719639616533075234,No,1732302930,"55,854.591",0,"55,854.591",40.0691%,0%
